;year;selling_price;km_driven;seats;mileage;max_power;torque_nm;torque_rpm;engine;fuel_Diesel;fuel_LPG;fuel_Petrol;seller_type_Individual;seller_type_Trustmark Dealer;transmission_Manual;owner_Fourth & Above Owner;owner_Second Owner;owner_Test Drive Car;owner_Third Owner;brand_mte
0;2014;13.017005083966255;11.8879382384223;5.0;23.4;74.0;190.0;2000.0;1248;1;0;0;1;0;1;0;0;0;0;12.614527844370084
1;2014;12.821260987319457;11.695255355062795;5.0;21.14;103.52;250.0;2000.0;1498;1;0;0;1;0;1;0;1;0;0;13.056160848208586
2;2006;11.970356641102999;11.849404844423074;5.0;17.7;78.0;124.46000000000001;2700.0;1497;0;0;1;1;0;1;0;0;0;1;13.13487927511639
3;2010;12.323860125621126;11.751950239425476;5.0;23.0;90.0;219.52;2250.0;1396;1;0;0;1;0;1;0;0;0;0;12.870736804799064
4;2007;11.775297421715827;11.695255355062795;5.0;16.1;88.2;112.7;4500.0;1298;0;0;1;1;0;1;0;0;0;0;12.645968741021994
5;2017;12.994532278619134;10.714439990727769;5.0;20.14;81.86;113.75;4000.0;1197;0;0;1;1;0;1;0;0;0;0;12.919023055010364
6;2007;11.472113887062386;12.07254696717504;5.0;17.3;57.5;76.44;4500.0;1061;0;1;0;1;0;1;0;0;0;0;12.53013279630332
7;2001;10.714439990727769;8.517393171418904;4.0;16.1;37.0;59.0;2500.0;796;0;0;1;1;0;1;0;1;0;0;12.640933128552167
8;2011;12.765691290604371;11.407576060361786;5.0;23.59;67.1;170.0;2100.0;1364;1;0;0;1;0;1;0;0;0;0;13.360090414349571
9;2013;12.206077645517674;12.037659911047468;5.0;20.0;68.1;160.0;2000.0;1399;1;0;0;1;0;1;0;0;0;0;12.893537716859717
10;2014;13.122365377402328;11.127277689932466;5.0;19.01;108.45;248.0;2250.0;1461;1;0;0;1;0;1;0;1;0;0;12.971194959868377
11;2005;11.429554725537322;11.51293546492023;5.0;17.3;60.0;78.0;4500.0;993;0;0;1;1;0;1;0;1;0;0;12.615931008814957
12;2009;12.54254845357358;11.849404844423074;5.0;19.3;73.9;190.0;2000.0;1248;1;0;0;1;0;1;0;1;0;0;12.578249530216619
13;2007;12.206077645517674;11.289794413577894;6.0;11.57;102.0;199.92;2400.0;1061;0;0;1;1;0;1;0;1;0;0;12.645860047112029
14;2009;12.100717685412471;11.407576060361786;5.0;18.9;67.0;84.0;3500.0;1061;0;0;1;1;0;1;0;1;0;0;12.636263738063594
15;2016;12.899222326086994;10.596659732783579;5.0;18.15;82.0;115.0;3550.0;1198;0;0;1;1;0;1;0;0;0;0;13.225002188491422
16;2016;13.564483088506746;11.156264806643742;7.0;24.52;88.5;200.0;1750.0;1248;1;0;0;1;0;1;0;1;0;0;12.774188341376304
17;2012;13.122365377402328;10.87806606028079;5.0;23.0;90.0;219.52;2250.0;1396;1;0;0;1;0;1;0;1;0;0;12.94104459185276
18;2002;11.918397239722838;11.289794413577894;5.0;19.7;46.3;62.0;3000.0;796;0;0;1;1;0;1;0;1;0;0;12.66020984255173
19;2016;13.429849547739444;11.51293546492023;5.0;22.54;88.73;219.7;2125.0;1396;1;0;0;1;0;1;0;0;0;0;12.932909772671495
20;2011;12.066816325306588;11.51293546492023;5.0;21.0;64.1;160.0;2000.0;1461;1;0;0;1;0;1;0;1;0;0;13.2231674748602
21;2017;13.76421831620775;10.819798284210286;5.0;25.5;98.6;200.0;1750.0;1498;1;0;0;1;0;1;0;0;0;0;13.150397865921068
22;2015;13.171155446333852;10.596659732783579;5.0;26.59;74.0;190.0;2000.0;1248;1;0;0;1;0;1;0;0;0;0;12.541159881492188
23;2012;13.304686600863562;11.184435286790631;5.0;21.5;88.8;200.0;1750.0;1248;1;0;0;1;0;1;0;0;0;0;12.721693083133209
24;2018;13.122365377402328;10.463131911491967;5.0;20.3;83.81;114.0;3500.0;1199;0;0;1;1;0;1;0;0;0;0;12.404502797599836
25;2016;13.26212705890841;10.714439990727769;5.0;21.4;83.1;115.0;4000.0;1197;0;0;1;1;0;1;0;0;0;0;12.582416225197033
26;2017;12.524530013005734;10.239995502805316;5.0;24.7;47.3;69.0;3500.0;796;0;0;1;1;0;1;0;0;0;0;12.560347499485733
27;2013;12.611541086966115;11.156264806643742;7.0;18.2;73.8;172.5;1750.0;1248;1;0;0;1;0;1;0;0;0;0;12.297992434452132
