Id;MSSubClass;OverallQual;OverallCond;MasVnrArea;BsmtFinSF1;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;2ndFlrSF;LowQualFinSF;GrLivArea;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;GarageCars;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;MiscVal;AgeConstruction;AgeLastRenovation;LotShape;LandSlope;ExterQual;ExterCond;BsmtQual;BsmtCond;BsmtExposure;BsmtFinType1;BsmtFinType2;HeatingQC;Electrical;KitchenQual;Functional;FireplaceQu;GarageFinish;GarageQual;GarageCond;PavedDrive;SalePrice;MSZoning_FV;MSZoning_RH;MSZoning_RL;MSZoning_RM;LandContour_HLS;LandContour_Low;LandContour_Lvl;LotConfig_CulDSac;LotConfig_FR2;LotConfig_FR3;LotConfig_Inside;Neighborhood_mean_encoded;Condition1_mean_encoded;Condition2_mean_encoded;BldgType_2fmCon;BldgType_Duplex;BldgType_Twnhs;BldgType_TwnhsE;HouseStyle_mean_encoded;RoofStyle_mean_encoded;RoofMatl_mean_encoded;Exterior1st_mean_encoded;Exterior2nd_mean_encoded;MasVnrType_BrkFace;MasVnrType_Stone;Foundation_mean_encoded;Heating_mean_encoded;CentralAir_Y;GarageType_mean_encoded;SaleType_mean_encoded;SaleCondition_mean_encoded
1;60;7;5;196.0;706.0;0.0;150.0;856.0;854;0;1710;1.0;0.0;2;1;3;2.0;0;61;0;0;0;0;0;5;5;3;2;4;3;4;3;1;6;1;5;5.0;4;7.0;0;2;3;3;2;208500.0;0;0;1;0;0;0;1;0;0;0;1;195287.42151815147;184502.82577319467;182182.5122196615;0;0;0;0;209588.9624265631;170858.74342712993;180498.13364316756;216227.4176549805;214649.7395547753;1;0;227239.6192934391;180910.44204937067;1;194361.39865890626;172311.6208832721;173754.25159930997
2;20;6;8;0.0;978.0;0.0;284.0;1262.0;0;0;1262;0.0;1.0;2;0;3;2.0;298;0;0;0;0;0;0;31;31;3;2;3;3;4;3;4;5;1;5;5.0;3;7.0;3;2;3;3;2;181500.0;0;0;1;0;0;0;1;0;1;0;0;252394.74923136833;141590.48022456554;182626.0619767533;0;0;0;0;176100.97427655215;171289.60241458417;178406.67451897712;148356.04545262989;146871.4433524277;1;0;149575.2937075505;182948.4249081046;1;194050.96881683508;171111.06355763768;174604.8376912582
3;60;7;5;162.0;486.0;0.0;434.0;920.0;866;0;1786;1.0;0.0;2;1;3;2.0;0;42;0;0;0;0;0;7;6;2;2;4;3;4;3;2;6;1;5;5.0;4;7.0;3;2;3;3;2;223500.0;0;0;1;0;0;0;1;0;0;0;1;196270.75285049196;185962.54281425747;181628.03504530573;0;0;0;0;209056.94085631482;172674.6730974009;181586.42683954316;215667.25544410752;215777.5340387485;1;0;227480.9666147521;184436.39646687612;1;196466.8304834013;175925.00658853137;176965.50860809052
4;70;7;5;0.0;216.0;0.0;540.0;756.0;756;0;1717;1.0;0.0;1;0;3;3.0;0;35;272;0;0;0;0;91;36;2;2;3;3;3;4;1;5;1;4;5.0;4;7.0;4;1;3;3;2;140000.0;0;0;1;0;0;0;1;0;0;0;0;214158.38622433055;183696.92334390405;182007.11819074565;0;0;0;0;210935.10953708133;171698.96134469795;181057.7064937365;150003.0375410277;161311.46978271863;1;0;133117.73524243358;180241.2728447924;1;135549.3482056725;174507.60343400636;146962.6372734085
5;60;8;5;350.0;655.0;0.0;490.0;1145.0;1053;0;2198;1.0;0.0;2;1;4;3.0;192;84;0;0;0;0;0;8;8;2;2;4;3;4;3;3;6;1;5;5.0;4;7.0;3;2;3;3;2;250000.0;0;0;1;0;0;0;1;0;1;0;0;341692.90326887387;183442.8935003559;182011.9299945976;0;0;0;0;210249.39221688375;169739.3803787554;177886.9207404101;214772.86287193582;215354.86006286583;1;0;225850.98041605778;181885.47956855013;1;193377.30285221722;173793.76783573875;176442.63736134768
6;50;5;5;0.0;732.0;0.0;64.0;796.0;566;0;1362;1.0;0.0;1;1;1;2.0;40;30;0;320;0;0;700;16;14;2;2;3;3;4;3;1;6;1;5;5.0;3;7.0;0;1;3;3;2;143000.0;0;0;1;0;0;0;1;0;0;0;1;156636.82866205514;183464.37965138513;180831.79406805203;0;0;0;0;141419.01117444868;171188.04586145372;180101.2706341087;213063.10727976376;214079.48328158676;1;0;205780.36104822293;181202.07672753243;1;194108.0503007117;173884.47082312815;175138.94760045497
7;20;8;5;186.0;1369.0;0.0;317.0;1686.0;0;0;1694;1.0;0.0;2;0;3;2.0;255;57;0;0;0;0;0;3;2;3;2;4;3;5;3;3;6;1;5;5.0;4;7.0;4;2;3;3;2;307000.0;0;0;1;0;0;0;1;0;0;0;1;225572.5574688468;186061.283625049;181781.21979578098;0;0;0;0;174750.0443333694;172318.74180602364;179333.30024585035;215516.03953254552;215364.34516463394;0;1;227171.6985709244;181995.164650905;1;194931.4393233605;172105.94859775613;175694.654020327
8;60;7;6;240.0;859.0;32.0;216.0;1107.0;983;0;2090;1.0;0.0;2;1;3;2.0;235;204;228;0;0;0;350;36;36;2;2;3;3;4;3;2;5;4;5;5.0;3;7.0;3;2;3;3;2;200000.0;0;0;1;0;0;0;1;0;0;0;0;189806.63753859035;222968.36434019028;182454.1214449392;0;0;0;0;209540.17845828066;170221.70412386884;180006.75738353515;161083.39398577233;166745.52524804592;0;1;148755.77448471522;182926.6694807304;1;195608.31802485173;172945.73275404374;174347.82319697298
9;50;7;5;0.0;0.0;0.0;952.0;952.0;752;0;1774;0.0;0.0;2;0;2;2.0;90;0;205;0;0;0;0;77;58;3;2;3;3;3;3;1;1;1;4;3.0;3;6.0;3;1;2;3;2;129900.0;0;0;0;1;0;0;1;0;0;0;1;122992.8295023672;126689.41686694961;181958.9200287613;0;0;0;0;144762.11733556323;171282.8747778569;180326.2543410155;195114.14951428547;165106.39911996262;1;0;128909.56345217269;183816.6076660474;1;133219.1165832124;174720.15178346774;147520.18556688496
10;190;5;6;0.0;851.0;0.0;140.0;991.0;0;0;1077;1.0;0.0;1;0;2;1.0;0;4;0;0;0;0;0;69;58;3;2;3;3;3;3;1;6;1;5;5.0;3;7.0;3;2;4;3;2;118000.0;0;0;1;0;0;0;1;0;0;0;0;123435.17649347044;138134.9107351625;94600.018828696;1;0;0;0;108510.48998265894;172649.09344192463;177926.38141668125;148966.62461611532;151520.81632141245;1;0;134633.44866097192;182950.6593510199;1;191981.54605494067;174110.97980032492;175522.15148784127
