Id;MSSubClass;OverallQual;OverallCond;MasVnrArea;BsmtFinSF1;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;2ndFlrSF;LowQualFinSF;GrLivArea;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;GarageCars;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;MiscVal;AgeConstruction;AgeLastRenovation;Neighborhood;Condition1;Condition2;HouseStyle;RoofStyle;RoofMatl;Exterior1st;Exterior2nd;Foundation;BsmtFinType1;BsmtFinType2;Heating;Functional;GarageType;SaleType;SaleCondition;SalePrice;MSZoning_FV;MSZoning_RH;MSZoning_RL;MSZoning_RM;Street_Pave;LotShape_IR2;LotShape_IR3;LotShape_Reg;LandContour_HLS;LandContour_Low;LandContour_Lvl;LotConfig_CulDSac;LotConfig_FR2;LotConfig_FR3;LotConfig_Inside;LandSlope_Mod;LandSlope_Sev;BldgType_2fmCon;BldgType_Duplex;BldgType_Twnhs;BldgType_TwnhsE;ExterQual_Fa;ExterQual_Gd;ExterQual_TA;ExterCond_Fa;ExterCond_Gd;ExterCond_Po;ExterCond_TA;BsmtQual_Fa;BsmtQual_Gd;BsmtQual_TA;BsmtCond_Gd;BsmtCond_Po;BsmtCond_TA;BsmtExposure_Gd;BsmtExposure_Mn;BsmtExposure_No;HeatingQC_Fa;HeatingQC_Gd;HeatingQC_Po;HeatingQC_TA;CentralAir_Y;Electrical_FuseF;Electrical_FuseP;Electrical_Mix;Electrical_SBrkr;KitchenQual_Fa;KitchenQual_Gd;KitchenQual_TA;GarageFinish_RFn;GarageFinish_Unf;GarageQual_Fa;GarageQual_Gd;GarageQual_Po;GarageQual_TA;GarageCond_Fa;GarageCond_Gd;GarageCond_Po;GarageCond_TA;PavedDrive_P;PavedDrive_Y
1;60;7;5;196.0;706.0;0.0;150.0;856.0;854;0;1710;1.0;0.0;2;1;3;2.0;0;61;0;0;0;0;0;5;5;197965.77333333335;184495.49206349207;181169.40553633217;210051.76404494382;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;235413.72009569377;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;208500.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1
2;20;6;8;0.0;978.0;0.0;284.0;1262.0;0;0;1262;0.0;1.0;2;0;3;2.0;298;0;0;0;0;0;0;31;31;238772.72727272726;142475.4814814815;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;149422.17727272728;149803.17289719626;149805.714511041;161573.06818181818;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;181500.0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1
3;60;7;5;162.0;486.0;0.0;434.0;920.0;866;0;1786;1.0;0.0;2;1;3;2.0;0;42;0;0;0;0;0;7;6;197965.77333333335;184495.49206349207;181169.40553633217;210051.76404494382;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;235413.72009569377;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;223500.0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1
4;70;7;5;0.0;216.0;0.0;540.0;756.0;756;0;1717;1.0;0.0;1;0;3;3.0;0;35;272;0;0;0;0;91;36;210624.72549019608;184495.49206349207;181169.40553633217;210051.76404494382;171483.95617879054;179803.6792189679;149841.64563106795;161328.94736842104;132291.07534246575;161573.06818181818;182511.3508500773;182021.19537815126;183429.14705882352;134091.16279069768;173401.8366219416;146526.62376237623;140000.0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1
5;60;8;5;350.0;655.0;0.0;490.0;1145.0;1053;0;2198;1.0;0.0;2;1;4;3.0;192;84;0;0;0;0;0;8;8;335295.31707317074;184495.49206349207;181169.40553633217;210051.76404494382;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;235413.72009569377;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;250000.0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1
6;50;5;5;0.0;732.0;0.0;64.0;796.0;566;0;1362;1.0;0.0;1;1;1;2.0;40;30;0;320;0;0;700;16;14;156270.1224489796;184495.49206349207;181169.40553633217;143116.74025974027;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;185666.66666666666;235413.72009569377;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;143000.0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1
7;20;8;5;186.0;1369.0;0.0;317.0;1686.0;0;0;1694;1.0;0.0;2;0;3;2.0;255;57;0;0;0;0;0;3;2;225379.83720930232;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;235413.72009569377;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;307000.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1
8;60;7;6;240.0;859.0;32.0;216.0;1107.0;983;0;2090;1.0;0.0;2;1;3;2.0;235;204;228;0;0;0;350;36;36;189050.0684931507;215184.2105263158;181169.40553633217;210051.76404494382;171483.95617879054;179803.6792189679;163077.45045045044;167661.5652173913;149805.714511041;161573.06818181818;151101.0;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;200000.0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1
9;50;7;5;0.0;0.0;0.0;952.0;952.0;752;0;1774;0.0;0.0;2;0;2;2.0;90;0;205;0;0;0;0;77;58;128225.30088495575;135091.66666666666;181169.40553633217;143116.74025974027;171483.95617879054;179803.6792189679;194573.0;161328.94736842104;132291.07534246575;165519.28265524626;182511.3508500773;182021.19537815126;146385.48387096773;134091.16279069768;173401.8366219416;146526.62376237623;129900.0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1
10;190;5;6;0.0;851.0;0.0;140.0;991.0;0;0;1077;1.0;0.0;1;0;2;1.0;0;4;0;0;0;0;0;69;58;124834.05172413793;135091.66666666666;106500.0;110150.0;171483.95617879054;179803.6792189679;149422.17727272728;149803.17289719626;132291.07534246575;235413.72009569377;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;118000.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1
